Role,Features
Sales Account Manager,1 to 9 Years Account Manager MCA Account management Sales strategy Negotiation and closing skills Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts. 92128
Product Brand Manager,4 to 12 Years Brand Manager M.Com Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting Manage the branding of specific products or product lines. Create product launch plans and marketing campaigns. Ensure consistent product messaging and brand representation. 92028
School Social Worker,5 to 14 Years Social Worker M.Tech School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification Collaborate with schools to support students academic and social needs. Conduct assessments and provide counseling and resources. Advocate for students and families. 49100
Content Creator,"0 to 11 Years Social Media Coordinator BA Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments. 29318"
Deliverability Analyst,"3 to 12 Years Email Marketing Specialist BA Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail Focus on email deliverability, monitoring email sender reputation and list quality. Troubleshoot email delivery issues and maintain sender compliance. Implement best practices for inbox placement. 126630"
HR Coordinator,"5 to 9 Years HR Generalist PhD Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills Assist with recruitment activities, including posting job openings, coordinating interviews, and managing applicant data. Ensure a positive candidate experience. Maintain recruitment records and metrics. 48199"
Legal Secretary,"0 to 15 Years Legal Assistant B.Tech Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office) Provide administrative support to legal professionals, including scheduling appointments and managing calendars. Prepare legal correspondence and forms. Maintain legal databases and records. 64351"
Family Nurse Practitioner,"0 to 10 Years Nurse Practitioner BCA Family medicine Health assessment Pediatric care Chronic disease management Patient education Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness. 118041"
Account Strategist,1 to 8 Years Account Director M.Tech Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills Develop account strategies and marketing plans to achieve client objectives. Analyze campaign performance data and provide strategic recommendations. Collaborate with cross-functional teams. 40723
Backend Developer,"2 to 14 Years Software Engineer PhD Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 127385"
Supply Chain Coordinator,"3 to 9 Years Purchasing Agent MBA Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency. 28043"
Supply Chain Coordinator,"4 to 12 Years Purchasing Agent BBA Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency. 81318"
B2B Sales Consultant,"5 to 15 Years Sales Consultant M.Tech B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals. 105370"
Structural Engineer,"4 to 15 Years Civil Engineer BA Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors. 51537"
Security Operations Center (SOC) Analyst,"0 to 12 Years Network Security Specialist M.Com SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage Work in SOC teams to monitor and respond to security incidents. Investigate and analyze security alerts and incidents. Maintain security documentation and incident reports. 93670"
Front-End Developer,"2 to 10 Years UI Developer BBA Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience. 56930"
Tax Planner,"4 to 8 Years Financial Planner BA Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance Focus on tax planning and optimization, helping clients minimize tax liabilities. Stay updated on tax laws and regulations. Provide tax-efficient financial strategies. 64185"
Event Coordinator,"3 to 8 Years Event Planner BA Event planning Vendor coordination Budget management Marketing and promotion Logistics Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution. 101834"
Clinical Psychologist,"1 to 14 Years Psychologist M.Com Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support. 130962"
Electrical Engineer,1 to 13 Years Electrical Designer B.Com Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors. 38044
Lighting Designer,"0 to 8 Years Electrical Designer M.Com Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge Specialize in lighting design, creating lighting plans for interiors and exteriors. Select lighting fixtures and systems. Enhance visual appeal and energy efficiency through lighting design. 27725"
Business Intelligence Analyst,"3 to 10 Years Data Analyst M.Com Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making Gather and analyze data to provide insights for decision-making using tools like Tableau or Power BI. Create data visualizations and reports. Identify trends and patterns in data. 35273"
Content Writer,"0 to 12 Years Technical Writer PhD Writing skills Content creation SEO knowledge Research skills Grammar and proofreading Write informative and engaging content for websites, blogs, and marketing materials. Conduct research and interviews to gather information. Tailor content to target audiences. 103693"
User Interface Designer,"0 to 8 Years UX/UI Designer BA UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms. 29884"
Personal Tax Consultant,4 to 12 Years Tax Consultant M.Com Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency Assist individuals and families with personal income tax planning and compliance. Prepare and file tax returns. Provide tax advice and financial planning. 104700
Automation Tester,"5 to 10 Years Software Tester MBA Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management Implement and maintain test automation frameworks. Write automated test scripts for regression testing. Analyze test results and provide feedback for continuous improvement. 47107"
Sales Account Executive,5 to 14 Years Account Executive BCA Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas. 61246
IT Support Specialist,"2 to 13 Years Systems Administrator BCA Technical troubleshooting Hardware and software support Customer service Problem-solving Communication Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base. 43665"
Account Strategist,4 to 9 Years Account Director BA Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills Develop account strategies and marketing plans to achieve client objectives. Analyze campaign performance data and provide strategic recommendations. Collaborate with cross-functional teams. 125427
Social Media Manager,"0 to 10 Years Digital Marketing Specialist PhD Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics. 57134"
Database Developer,"1 to 15 Years Database Administrator BBA Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures. 55648"
Social Science Researcher,"1 to 15 Years Research Analyst B.Tech Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects. 107738"
Record Keeper,"3 to 9 Years Data Entry Clerk B.Tech Records management Data entry and retrieval Attention to detail Maintain records, files, and documentation in an organized manner. Ensure compliance with record-keeping policies and regulations. Retrieve and update records as needed. 91636"
Staff Nurse,"5 to 14 Years Registered Nurse MCA Nursing care Patient assessment Medical knowledge Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans. 43166"
International Tax Consultant,3 to 8 Years Tax Consultant BA International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency Specialize in international tax law and cross-border tax issues. Provide guidance on international tax planning and transfer pricing. Ensure compliance with global tax regulations. 99455
Risk Analyst,"4 to 8 Years Investment Analyst MCA Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge Evaluate investment risks, including market, credit, and operational risks. Develop risk models and stress tests. Implement risk management strategies and controls. 21827"
Speech Pathologist,5 to 10 Years Speech Therapist M.Com Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills Diagnose and treat a wide range of speech and language disorders across age groups. Use assessment tools and therapeutic techniques. Help individuals improve their communication abilities. 65648
Regional Sales Director,4 to 8 Years Sales Manager B.Com Sales strategy development Territory management Sales team leadership Oversee sales activities and strategy for a specific geographic region. Develop sales plans and objectives. Analyze regional market trends and competition. 65183
Mental Health Counselor,4 to 10 Years Social Worker BCA Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification Offer mental health counseling and therapy to individuals and groups. Diagnose and treat mental health conditions. Develop treatment plans and monitor progress. 73840
Family Nurse Practitioner,"5 to 12 Years Nurse Practitioner PhD Family medicine Health assessment Pediatric care Chronic disease management Patient education Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness. 25713"
Urban Planner,"0 to 13 Years Landscape Architect B.Com Urban design and planning Zoning regulations GIS and mapping tools Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects. 14771"
Strategic Account Manager,"5 to 15 Years Key Account Manager B.Tech Account management Client relationship Sales strategy Business development Negotiation skills Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability. 90064"
User Researcher,"4 to 14 Years UX Researcher B.Tech User research methods Usability testing Data analysis and interpretation Conduct user research to understand user behavior, needs, and preferences. Plan and execute user interviews, surveys, and usability studies. Analyze research findings and generate insights. 48875"
Sales Account Manager,4 to 11 Years Account Manager BA Account management Sales strategy Negotiation and closing skills Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts. 18334
Financial Analyst,"2 to 10 Years Investment Banker B.Com Financial analysis Data analysis Financial modeling Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Create financial models and projections. Collaborate with clients on investment strategies. 45782"
Desktop Support Technician,"2 to 9 Years IT Support Specialist BBA Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills Install, configure, and maintain desktop computers and peripherals. Perform hardware and software upgrades and repairs. Manage IT inventory and asset tracking. 58759"
Art Curator,"3 to 12 Years Art Director BA Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness Curate and manage art collections, exhibitions, and galleries. Research and select artworks for display. Collaborate with artists, collectors, and institutions. 40875"
Sales Account Executive,5 to 12 Years Account Executive PhD Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas. 42159
Mobile App Developer,"0 to 11 Years Software Developer M.Tech Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting Create mobile applications for iOS and Android platforms. Optimize mobile app performance and user experience. Collaborate with cross-functional teams to define app requirements. 121311"
Agile Project Manager,"1 to 11 Years Project Manager BCA Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira) Facilitate agile project development, collaborate with cross-functional teams, and manage project backlogs and sprints. Coach and mentor team members on agile practices. Drive continuous improvement of agile processes. 54212"
Structural Engineer,"4 to 13 Years Civil Engineer MCA Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors. 110983"
Service Quality Assurance Manager,0 to 8 Years Customer Service Manager BCA Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis Ensure service quality and consistency by defining and implementing QA standards and processes. Conduct regular quality audits and provide feedback to the team. Identify areas for improvement and training. 85922
Procurement Analyst,4 to 13 Years Procurement Manager MBA Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting. 22971
Family Counselor,3 to 10 Years Substance Abuse Counselor B.Com Family counseling Marriage and family therapy Conflict resolution skills Work with the families of individuals facing substance abuse challenges. Provide education and therapy to improve family dynamics and support networks. Collaborate with treatment teams. 87873
Logistics Analyst,"1 to 15 Years Supply Chain Analyst MCA Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving Analyze and optimize logistics and supply chain processes, including transportation and warehousing. Monitor inventory levels and track shipments. Identify cost-saving opportunities. 77894"
Data Architect,0 to 9 Years Data Engineer B.Tech Data architecture design Database management systems Data modeling Design data architecture and systems to meet business needs. Develop data models and database schemas. Ensure data security and compliance. 58034
Regional Sales Director,3 to 9 Years Sales Manager MCA Sales strategy development Territory management Sales team leadership Oversee sales activities and strategy for a specific geographic region. Develop sales plans and objectives. Analyze regional market trends and competition. 128742
Logistics Analyst,"5 to 8 Years Supply Chain Analyst BBA Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving Analyze and optimize logistics and supply chain processes, including transportation and warehousing. Monitor inventory levels and track shipments. Identify cost-saving opportunities. 24654"
User Interface Designer,"5 to 14 Years UX/UI Designer BA UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms. 39267"
Quality Assurance Analyst,"2 to 12 Years Software Tester BA Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues. 92865"
Quality Assurance Analyst,"1 to 9 Years Software Tester MCA Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues. 32898"
Documentation Specialist,"1 to 10 Years Technical Writer B.Com Document management Recordkeeping Attention to detail Data entry Organizational skills Create technical documentation, manuals, and user guides for software, hardware, or products. Collaborate with subject matter experts and engineers. Ensure documentation accuracy and clarity. 93691"
Financial Accountant,"1 to 8 Years Accountant BA Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge Maintain financial records, prepare financial statements, and ensure compliance with accounting standards and regulations. Reconcile accounts and analyze financial data. Assist with financial audits. 76275"
Inside Sales Representative,"4 to 8 Years Sales Representative PhD Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process. 49909"
Strategic Account Manager,"4 to 11 Years Key Account Manager B.Com Account management Client relationship Sales strategy Business development Negotiation skills Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability. 14944"
Network Security Analyst,"2 to 15 Years Network Administrator BBA Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures. 129177"
Inventory Manager,"4 to 11 Years Purchasing Agent PhD Inventory control Demand forecasting Supply chain management Data analysis Warehouse management Manage inventory levels, track stock, and optimize inventory processes. Ensure stock availability and minimize carrying costs. Conduct inventory audits and reconcile discrepancies. 72619"
Automation Test Engineer,"1 to 14 Years QA Analyst BCA Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review Develop and maintain automated test scripts using testing tools like Selenium or Appium. Execute automated tests and analyze results. Continuously improve test automation frameworks. 112909"
User Interface Designer,"4 to 13 Years UX/UI Designer MCA UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms. 64602"
Inside Sales Representative,"4 to 9 Years Sales Representative BA Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process. 61676"
Sustainability Consultant,"1 to 11 Years Environmental Consultant BBA Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting. 106271"
Electronics Hardware Engineer,5 to 13 Years Electrical Engineer BBA Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting Develop electronic hardware components and circuits for various applications. Conduct testing and validation of electronic systems. Collaborate with cross-functional teams on product development. 36167
Systems Integration Specialist,"0 to 9 Years Systems Engineer M.Tech Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting Integrate various software and hardware systems within an organization, ensuring seamless data flow and interoperability. Collaborate with software developers and IT teams on integration projects. 117330"
Brand Strategist,"0 to 13 Years Brand Manager BBA Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration Develop brand strategies, positioning, and messaging to drive brand awareness and loyalty. Conduct market research and competitor analysis. Collaborate with creative teams on branding materials. 80811"
Electrical Engineer,5 to 11 Years Electrical Designer BCA Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors. 122985
Acute Care Nurse Practitioner,"2 to 14 Years Nurse Practitioner PhD Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning Specialize in acute care settings, managing complex medical conditions and critical illnesses. Collaborate with healthcare teams in hospital settings. Make critical medical decisions and interventions. 18123"
Trial Attorney,"2 to 13 Years Litigation Attorney B.Tech Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible. 103289"
Network Security Engineer,"2 to 9 Years Network Engineer BBA Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery Focus on network security, implement security measures, and protect against cyber threats. Conduct security audits and vulnerability assessments. Respond to security incidents and breaches. 42479"
Research Psychologist,"2 to 12 Years Psychologist MBA Research methodology Data analysis Psychological studies Writing research reports Critical thinking Conduct psychological research, design experiments, and analyze data. Publish research findings in academic journals. Contribute to the advancement of psychological knowledge. 25355"
Art Education Coordinator,"2 to 12 Years Art Teacher B.Tech Art education curriculum Program development Teacher training Communication skills Artistic expertise Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases. 87550"
Talent Acquisition Manager,"1 to 8 Years Human Resources Manager MCA Talent sourcing Interviewing Onboarding Recruitment strategies HR software Lead talent acquisition efforts, including sourcing, interviewing, and onboarding new employees. Collaborate with hiring managers to define job requirements. Develop and implement recruitment strategies. 38678"
Classroom Teacher,"1 to 12 Years Teacher B.Com Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction Plan and deliver engaging lessons, adapting teaching methods to student needs. Assess student progress and provide feedback. Create a positive and inclusive classroom environment. 61963"
Inventory Control Specialist,"1 to 15 Years Inventory Analyst MCA Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills Manage inventory levels, track stock movements, and optimize inventory turnover. Conduct regular inventory counts and reconcile discrepancies. Ensure accurate and efficient inventory management. 83361"
Corporate Attorney,"4 to 13 Years Legal Counsel M.Com Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings. 53541"
SQL Database Developer,"4 to 14 Years Database Developer MCA SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills Design, develop, and maintain SQL databases, ensuring data integrity and performance. Write complex SQL queries and stored procedures. Troubleshoot database issues and optimize queries. 28546"
Procurement Manager,"1 to 9 Years Procurement Specialist B.Tech Procurement strategies Supplier management Negotiation Cost analysis Supply chain management Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services. 131928"
IT Analyst,"5 to 15 Years Systems Analyst B.Com IT systems analysis Troubleshooting IT support and documentation Analyze business systems, processes, and requirements to identify IT solutions. Develop system specifications and requirements documents. Collaborate with IT teams to implement solutions. 31092"
Acute Care Nurse Practitioner,"4 to 11 Years Nurse Practitioner M.Com Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning Specialize in acute care settings, managing complex medical conditions and critical illnesses. Collaborate with healthcare teams in hospital settings. Make critical medical decisions and interventions. 39646"
Key Account Executive,"0 to 14 Years Account Executive M.Com Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge Focus on strategic accounts, serving as the primary point of contact for key clients. Develop account plans and growth strategies. Ensure high levels of client satisfaction and retention. 71394"
Creative Copywriter,"0 to 12 Years Copywriter MBA Creative writing Copywriting Advertising copy Content creation Brand storytelling Marketing campaigns Proofreading and editing Write creative and persuasive copy for advertising campaigns, marketing materials, and brand storytelling. Develop unique and engaging brand voices and messages. Collaborate with art directors and designers. 70396"
Procurement Manager,"0 to 13 Years Procurement Specialist BCA Procurement strategies Supplier management Negotiation Cost analysis Supply chain management Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services. 97571"
SEO Specialist,"1 to 8 Years Digital Marketing Specialist MCA Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies. 84264"
